city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-07-02T05:40:00+05:30",so2,6.9,28.5648,77.1744
Delhi,"2015-07-02T05:40:00+05:30",pm25,23,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",no2,50.9,28.5648,77.1744
Delhi,"2015-07-02T05:40:00+05:30",pm25,230,28.6508,77.3152
Delhi,"2015-07-02T05:40:00+05:30",co,500,28.6341,77.2005
Delhi,"2015-07-02T05:40:00+05:30",o3,15.2,28.5648,77.1744
Delhi,"2015-07-02T05:40:00+05:30",so2,7.3,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",no2,17.6,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",o3,9.8,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",pm25,21,28.5648,77.1744
Delhi,"2015-07-02T05:40:00+05:30",no2,37,28.6341,77.2005
Delhi,"2015-07-02T05:40:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",pm25,52,28.6341,77.2005
Delhi,"2015-07-02T05:40:00+05:30",pm10,62,28.5648,77.1744
Delhi,"2015-07-02T05:40:00+05:30",pm10,254,28.6508,77.3152
Delhi,"2015-07-02T05:40:00+05:30",pm10,49,28.6683,77.1167
Delhi,"2015-07-02T05:40:00+05:30",co,1600,28.5648,77.1744
Delhi,"2015-07-02T06:00:00+05:30",no2,40.1,28.6341,77.2005
Delhi,"2015-07-02T06:00:00+05:30",so2,7.6,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",pm25,57,28.5648,77.1744
Delhi,"2015-07-02T06:00:00+05:30",pm10,97,28.5648,77.1744
Delhi,"2015-07-02T06:00:00+05:30",pm25,49,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",o3,4.9,28.6341,77.2005
Delhi,"2015-07-02T06:00:00+05:30",co,1700,28.5648,77.1744
Delhi,"2015-07-02T06:00:00+05:30",pm10,110,28.6341,77.2005
Delhi,"2015-07-02T06:00:00+05:30",no2,55,28.5648,77.1744
Delhi,"2015-07-02T06:00:00+05:30",pm10,70,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",pm25,42,28.6341,77.2005
Delhi,"2015-07-02T06:00:00+05:30",o3,15.3,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",co,400,28.6341,77.2005
Delhi,"2015-07-02T06:00:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",no2,32.3,28.6683,77.1167
Delhi,"2015-07-02T06:00:00+05:30",o3,14.9,28.5648,77.1744
Delhi,"2015-07-02T06:10:00+05:30",pm10,355,28.6508,77.3152
Delhi,"2015-07-02T06:10:00+05:30",no2,59.9,28.6508,77.3152
Delhi,"2015-07-02T06:10:00+05:30",pm25,104,28.6508,77.3152
Delhi,"2015-07-02T06:10:00+05:30",so2,17.2,28.6508,77.3152
Delhi,"2015-07-02T06:10:00+05:30",co,800,28.6508,77.3152
Delhi,"2015-07-02T06:10:00+05:30",o3,8.1,28.6508,77.3152
Delhi,"2015-07-02T06:40:00+05:30",so2,12.6,28.6508,77.3152
Delhi,"2015-07-02T06:40:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T06:40:00+05:30",pm25,104,28.6508,77.3152
Delhi,"2015-07-02T06:40:00+05:30",pm25,57,28.5648,77.1744
Delhi,"2015-07-02T06:40:00+05:30",o3,68.6,28.6508,77.3152
Delhi,"2015-07-02T06:40:00+05:30",so2,7.7,28.5648,77.1744
Delhi,"2015-07-02T06:40:00+05:30",no2,44.6,28.6341,77.2005
Delhi,"2015-07-02T06:40:00+05:30",pm25,49,28.6683,77.1167
Delhi,"2015-07-02T06:40:00+05:30",o3,7.1,28.6341,77.2005
