city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-06-29T06:00:00+05:30",so2,4.9,28.6683,77.1167
Delhi,"2015-06-29T06:00:00+05:30",pm25,25,28.6683,77.1167
Delhi,"2015-06-29T06:00:00+05:30",pm10,56,28.6683,77.1167
Delhi,"2015-06-29T06:00:00+05:30",o3,13.9,28.6683,77.1167
Delhi,"2015-06-29T06:00:00+05:30",no2,17.8,28.6683,77.1167
Delhi,"2015-06-29T06:00:00+05:30",co,1300,28.6683,77.1167
Delhi,"2015-06-29T06:40:00+05:30",pm25,25,28.6683,77.1167
Delhi,"2015-06-29T06:40:00+05:30",pm10,56,28.6683,77.1167
Delhi,"2015-06-29T07:00:00+05:30",no2,21.4,28.6683,77.1167
Delhi,"2015-06-29T07:00:00+05:30",o3,15.3,28.6683,77.1167
Delhi,"2015-06-29T07:00:00+05:30",so2,9.4,28.6683,77.1167
Delhi,"2015-06-29T07:00:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-06-29T08:00:00+05:30",so2,8.1,28.6683,77.1167
Delhi,"2015-06-29T08:00:00+05:30",pm25,21,28.6683,77.1167
Delhi,"2015-06-29T08:00:00+05:30",pm10,30,28.6683,77.1167
Delhi,"2015-06-29T08:00:00+05:30",o3,25.3,28.6683,77.1167
Delhi,"2015-06-29T08:00:00+05:30",no2,47.1,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",pm25,21,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",pm10,30,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",no2,41.9,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",so2,5.5,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",o3,5.8,28.6683,77.1167
Delhi,"2015-06-29T08:40:00+05:30",co,1000,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",pm10,18,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",pm25,6,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",no2,42.4,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",so2,6.1,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",o3,19.5,28.6683,77.1167
Delhi,"2015-06-29T09:00:00+05:30",co,1000,28.6683,77.1167
Delhi,"2015-06-29T09:40:00+05:30",pm10,18,28.6683,77.1167
Delhi,"2015-06-29T09:40:00+05:30",pm25,6,28.6683,77.1167
Delhi,"2015-06-29T09:40:00+05:30",no2,30.7,28.6683,77.1167
Delhi,"2015-06-29T09:40:00+05:30",so2,8.4,28.6683,77.1167
Delhi,"2015-06-29T09:40:00+05:30",co,900,28.6683,77.1167
Delhi,"2015-06-29T10:00:00+05:30",co,1000,28.6683,77.1167
Delhi,"2015-06-29T10:00:00+05:30",so2,4.9,28.6683,77.1167
Delhi,"2015-06-29T10:00:00+05:30",pm10,93,28.6683,77.1167
Delhi,"2015-06-29T10:00:00+05:30",pm25,32,28.6683,77.1167
